 1     1     0.678 
 1     2     0.133 
 1     3    -0.007  
 1     4     0.727 
 1     5     0.091 
 1     6    -0.742  
 1     7    -0.625  
 1     8    -0.064  
 1     9    -0.382  
 1    10    -0.302  
 1    11     1.221   
 1    12     0.187  
 2     2     0.180 
 2     3     0.065 
 2     4     0.295 
 2     5     0.057 
 2     6    -0.631  
 2     7    -0.663  
 2     8     0.612 
 2     9     0.342 
 2    10    -0.275  
 2    11     0.604  
 2    12     0.248  
 3     3    -0.145  
 3     4     0.093 
 3     5    -0.265  
 3     6    -1.078  
 3     7    -1.176  
 3     8     0.636 
 3     9     0.355 
 3    10    -0.552   
 3    11     0.483  
 3    12     0.109  
 4     4     0.696 
 4     5    -0.016  
 4     6    -0.735  
 4     7    -0.804  
 4     8     0.525 
 4     9     0.144 
 4    10    -0.202   
 4    11     1.116  
 4    12     0.477  
 5     5    -0.601  
 5     6    -0.928  
 5     7    -1.046  
 5     8     0.644 
 5     9     0.615 
 5    10    -0.573   
 5    11     0.062  
 5    12    -0.034   
 6     6    -0.914  
 6     7    -1.696  
 6     8    -0.577  
 6     9    -0.430  
 6    10    -1.495   
 6    11    -0.303   
 6    12    -0.867   
 7     7    -1.938  
 7     8    -0.214  
 7     9     0.015 
 7    10    -1.771  
 7    11     0.092  
 7    12    -1.040   
 8     8     1.620
 8     9     1.233 
 8    10    -0.001   
 8    11     0.368  
 8    12     0.822  
 9     9     1.090
 9    10     0.050  
 9    11    -0.024   
 9    12     0.757  
10    10    -1.606   
10    11     0.253  
10    12    -0.572   
11    11     1.884  
11    12     0.731  
12    12     0.399  
