     0.000       0.0000
     0.500       0.0001
     1.000       0.0003
     1.500       0.0010
     2.000       0.0027
     2.500       0.0052
     3.000       0.0075
     3.500       0.0101
     4.000       0.0135
     4.500       0.0175
     5.000       0.0217
     5.500       0.0258
     6.000       0.0300
     6.500       0.0344
     7.000       0.0391
     7.500       0.0439
     8.000       0.0488
     8.500       0.0544
     9.000       0.0617
     9.500       0.0707
    10.000       0.0812
    10.500       0.0933
    11.000       0.1082
    11.500       0.1277
    12.000       0.1538
    12.500       0.1882
    13.000       0.2331
    13.500       0.2873
    14.000       0.3498
    14.500       0.4220
    15.000       0.5066
    15.500       0.6030
    16.000       0.7062
    16.500       0.8069
    17.000       0.8927
    17.500       0.9619
    18.000       1.0179
    18.500       1.0568
    19.000       1.0805
    19.500       1.0934
    20.000       1.0981
    20.500       1.0963
    21.000       1.0878
    21.500       1.0726
    22.000       1.0555
    22.500       1.0408
    23.000       1.0291
    23.500       1.0199
    24.000       1.0129
    24.500       1.0072
    25.000       1.0029
    25.500       1.0008
    26.000       1.0001
    26.500       1.0000
    27.000       1.0000
    27.500       1.0000
    28.000       1.0000
    28.500       1.0000
    29.000       1.0000
    29.500       1.0000
    30.000       1.0000
