     0.000       1.8009
     0.500       1.8039
     1.000       1.8107
     1.500       1.8200
     2.000       1.8300
     2.500       1.8400
     3.000       1.8500
     3.500       1.8604
     4.000       1.8724
     4.500       1.8884
     5.000       1.9086
     5.500       1.9332
     6.000       1.9651
     6.500       2.0023
     7.000       2.0448
     7.500       2.0957
     8.000       2.1558
     8.500       2.2268
     9.000       2.3171
     9.500       2.4537
    10.000       2.7246
    10.500       3.1647
    11.000       3.6569
    11.500       4.1777
    12.000       4.7738
    12.500       5.4464
    13.000       6.1862
    13.500       7.0048
    14.000       7.9576
    14.500       9.3113
    15.000      11.5058
    15.500      14.9367
    16.000      20.0056
    16.500      27.0151
    17.000      35.7617
    17.500      45.0195
    18.000      53.2781
    18.500      59.9115
    19.000      65.0139
    19.500      68.9142
    20.000      71.8079
    20.500      73.8576
    21.000      75.3366
    21.500      76.3998
    22.000      77.1481
    22.500      77.7465
    23.000      78.2961
    23.500      78.8327
    24.000      79.2915
    24.500      79.6412
    25.000      79.8779
    25.500      79.9787
    26.000      79.9984
    26.500      80.0000
    27.000      80.0000
    27.500      80.0000
    28.000      80.0000
    28.500      80.0000
    29.000      80.0000
    29.500      80.0000
    30.000      80.0000
